Timestamp,How comfortable are you with d3 now?,Why do you want to learn d3?,Have you used any of the following technologies?,Have you used any of the following libraries?,What kind of projects do you want to use d3 for?,Are you comfortable with for loops?,What is your favorite tool for data visualization so far?,Which feature of d3 get you most excited?,Which formats would you be interested in paying for to learn d3?,Do you remember trigonometry?,Does the word gestalt mean anything to you?,What city are you in?
3/9/2015 17:14:01,I looked at some examples!,For work,"Excel, Tableau, Matlab, R, Python","Processing, pandas, ggplot2",Scientific explanation,i++,ggplot2,interactive,1 day in person workshop,its a sinh!,Nope,"Oakland, CA"
3/9/2015 18:37:23,I looked at some examples!,For work,"JavaScript, HTML, CSS, Python","jQuery, AngularJS",Web application interface,i++,code,reusable charts,in-person course (6-8 weeks),who's that?,Nope,sunnyvale
3/9/2015 18:45:21,I looked at some examples!,"For fun, For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Matlab, Python","Processing, pandas","Portfolio site, Web application interface, Scientific explanation",i++,code,reusable charts,"1 day in person workshop, multi-day in person workshop, 1 day online workshop",SOHCAHTOA!,Principles!,Millbrae CA 
3/9/2015 19:01:10,I've forked a bl.ock or two,"For fun, For work, To get a job","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Matlab, Python","jQuery, AngularJS","Portfolio site, Web application interface, Infographic",No,code,reusable charts,"1 day in person workshop, multi-day in person workshop",SOHCAHTOA!,Nope,san francisco
3/9/2015 19:49:11,I've forked a bl.ock or two,"For fun, For work, For school, To get a job, To express myself","Adobe Illustrator, Excel, Tableau, R, Python","jQuery, Processing, ggplot2","Portfolio site, Web application interface, News articles, Business intelligence, Scientific explanation, Infographic",i++,pen & paper,reusable charts,"in-person course (6-8 weeks), multi-day in person workshop, 1:1 tutoring",something about angles right?,Principles!,Berkeley
3/9/2015 20:54:57,"selectAll("".answers"").enter()","For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, Matlab, R","jQuery, React.js","News articles, Business intelligence, Scientific explanation",i++,code,reusable charts,1 day online workshop,SOHCAHTOA!,Nope,San Jose 
3/9/2015 21:10:05,"selectAll("".answers"").enter()","For fun, For work, to understand data better, to address visual learners","JavaScript, HTML, CSS, Matlab, Python","jQuery, React.js, Backbone.js, pandas","Web application interface, quantified self ",i++,code,creative and powerful projects visualizations people have made with it,project-driven workshop,SOHCAHTOA!,Nope,San Francisco
3/9/2015 22:00:17,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Excel, Tableau, Matlab, R, Python","jQuery, Processing, pandas, ggplot2","Web application interface, Business intelligence, Scientific explanation",i++,code,reusable charts,"on-line course (6-8 weeks), in-person course (6-8 weeks), 1 day in person workshop, multi-day in person workshop",its a sinh!,Nope,"San Francisco, CA"
3/10/2015 1:16:33,I looked at some examples!,For work,"HTML, CSS, Adobe Illustrator, Excel",,"Web application interface, Infographic",i++,illustrator,no idea,"on-line course (6-8 weeks), in-person course (6-8 weeks), multi-day in person workshop",something about angles right?,Principles!,san francisco
3/10/2015 9:27:19,"selectAll("".answers"").enter()","For fun, For work, To get a job","JavaScript, HTML, CSS, Adobe Illustrator, Excel","jQuery, Processing","Web application interface, Infographic",i++,illustrator,reusable charts,"on-line course (6-8 weeks), in-person course (6-8 weeks), 1 day in person workshop, multi-day in person workshop",SOHCAHTOA!,Nope,san francisco
3/10/2015 9:48:31,I looked at some examples!,"For fun, For work","Excel, R, Python","Processing, ggplot2","Scientific explanation, visualizing database activity ""real-time""",i++,pen & paper,no idea,"on-line course (6-8 weeks), 1 day in person workshop, 1 day online workshop",its a sinh!,Nope,Half Moon Bay
3/10/2015 10:34:49,"selectAll("".answers"").enter()","For work, To get a job","JavaScript, HTML, CSS, Adobe Illustrator, Excel",jQuery,"Portfolio site, News articles, Scientific explanation, Infographic",No,illustrator,reusable charts,"on-line course (6-8 weeks), in-person course (6-8 weeks), 1:1 tutoring",who's that?,Nope,berkeley
3/10/2015 10:41:13,"selectAll("".answers"").enter()","For fun, For work, For school, To express myself","JavaScript, HTML, CSS, Sketch App, Excel, Matlab, R, Python","jQuery, Processing, framer.js, React.js, Ember.js, Backbone.js, pandas, ggplot2","Web application interface, Business intelligence, Scientific explanation, Infographic",i++,pen & paper,data binding,1 day in person workshop,its a sinh!,Principles!,sf
3/10/2015 10:45:53,"selectAll("".answers"").enter()",For work,"JavaScript, HTML, CSS, Adobe Illustrator, Excel, R, Python","jQuery, Processing, Ember.js, Backbone.js, pandas","News articles, Scientific explanation, Infographic",i++,code,no idea,"on-line course (6-8 weeks), in-person course (6-8 weeks), 1 day in person workshop, multi-day in person workshop, 1 day online workshop, 1:1 tutoring",something about angles right?,Nope,Emeryville
3/10/2015 11:46:02,I've forked a bl.ock or two,For fun,"JavaScript, HTML, CSS, Excel, Python","jQuery, AngularJS, Backbone.js","Portfolio site, Web application interface, Business intelligence, Infographic",i++,code,reusable charts,"1 day in person workshop, multi-day in person workshop, 1:1 tutoring",something about angles right?,Nope,San Francisco
3/10/2015 13:39:50,I looked at some examples!,For work,"JavaScript, HTML, CSS","jQuery, AngularJS, React.js, Ember.js, Backbone.js","Web application interface, Scientific explanation, Infographic",i++,,data binding,on-line course (6-8 weeks),something about angles right?,Nope,Cupertino
3/10/2015 17:34:38,Someone told me I should learn it...,"For fun, For work, To get a job, To express myself","Adobe Illustrator, Excel, Tableau, R",,"Portfolio site, Scientific explanation, Infographic",i++,,,,SOHCAHTOA!,Nope,
3/10/2015 17:36:34,I looked at some examples!,"For fun, For work, To get a job, To express myself","Adobe Illustrator, Excel, Tableau, Matlab, R",,"Portfolio site, Scientific explanation, Infographic",i++,Tableau,no idea,not worth it when first learning,SOHCAHTOA!,Nope,San Jose
3/10/2015 19:40:01,I looked at some examples!,To express myself,"JavaScript, HTML, CSS, Adobe Illustrator, Excel, Tableau",jQuery,"Web application interface, Scientific explanation, Infographic, simple graphing; patterns",i++,illustrator,data binding,"on-line course (6-8 weeks), 'critique my project' session, perhaps with shared or specified project context",something about angles right?,Principles!,"Lafayette, CA"
3/10/2015 21:34:39,"selectAll("".answers"").enter()","For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, Tableau, Matlab, R, Python","jQuery, Backbone.js","Portfolio site, Scientific explanation, Infographic",i++,code,data binding,,its a sinh!,Principles!,"San Jose, CA"
3/11/2015 7:06:47,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, R","jQuery, ggplot2","Portfolio site, Web application interface, Business intelligence, Scientific explanation, Infographic",i++,code,behaviors,1 day online workshop,something about angles right?,Nope,
3/11/2015 9:45:26,I looked at some examples!,"For fun, For work, To get a job, To express myself, I think digital interactive systems tha explain complex systems visually are the future","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel","jQuery, Processing","Portfolio site, Web application interface, Business intelligence, Infographic",i++,excel,data binding,"in-person course (6-8 weeks), 1 day in person workshop, multi-day in person workshop",SOHCAHTOA!,Principles!,SF/Oakland
3/11/2015 12:41:47,"selectAll("".answers"").enter()","For fun, For work, To get a job, To express myself","HTML, CSS, Excel, Tableau, R",ggplot2,"Web application interface, Business intelligence, Infographic",i++,code,reusable charts,"on-line course (6-8 weeks), in-person course (6-8 weeks)",SOHCAHTOA!,Nope,San Jose
3/12/2015 15:19:53,I looked at some examples!,"For fun, For work, To express myself","JavaScript, HTML, CSS, Matlab, Python",AngularJS,Web application interface,i++,pen & paper,reusable charts,1 day in person workshop,something about angles right?,Nope,san francisco
3/16/2015 13:11:00,Someone told me I should learn it...,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Excel, Python",jQuery,"Portfolio site, Web application interface, News articles, Business intelligence, Infographic",i++,excel,behaviors,1 day in person workshop,something about angles right?,Nope,San Francisco
